province,fsa,population_2016,lim_at_prevalence,lim_at_count,sac_rural_category,clc_rural_indicator,clc_rural_label,clc_low_income_indicator,clc_low_income_label,female,black,indigenous,unemployment_rate,youth_15_to_24,youth_15_to_29,french_speakers,french_first_official_language,immigrant
Alberta,T0M,67484,0.10400000000000001,6765,5,1,Rural,0,Not Low Income,33285,315,3190,0.095,7545,11440,2005,570,4235
Alberta,T7A,11756,0.078,905,6,1,Rural,0,Not Low Income,5780,110,935,0.107,1540,2370,265,110,765
Alberta,T7N,7795,0.11,820,5,1,Rural,0,Not Low Income,3930,45,505,0.064,855,1270,310,85,725
Alberta,T8X,19287,0.048,920,2,0,Not Rural,0,Not Low Income,9345,330,1575,0.087,2420,4180,1350,450,1770
Alberta,T7P,7536,0.132,920,5,1,Rural,0,Not Low Income,3865,55,525,0.075,815,1180,340,110,540
Alberta,T7S,12691,0.081,1020,6,1,Rural,0,Not Low Income,6105,75,1380,0.129,1695,2695,675,295,840
British Columbia,V8C,8131,0.083,670,5,1,Rural,0,Not Low Income,3925,80,945,0.125,930,1420,665,300,1420
British Columbia,V8K,10561,0.196,2020,5,1,Rural,1,Low Income,5545,80,430,0.044000000000000004,800,1075,1335,220,2275
Alberta,T9M,18253,0.059000000000000004,1000,3,0,Not Rural,0,Not Low Income,8735,260,2650,0.091,2305,4245,2345,1040,1300
Alberta,T9N,9082,0.066,585,5,1,Rural,0,Not Low Income,4560,30,955,0.11900000000000001,1080,1705,1240,620,610
Alberta,T9S,6898,0.098,655,6,1,Rural,0,Not Low Income,3480,100,815,0.085,770,1095,480,95,510
Alberta,T9V,20959,0.07400000000000001,1530,3,0,Not Rural,0,Not Low Income,10520,395,1645,0.106,2485,4040,1120,230,2080
British Columbia,V0E,65606,0.17,10710,4,1,Rural,0,Not Low Income,32675,115,6145,0.098,5470,8495,2870,895,5815
British Columbia,V0G,26047,0.19899999999999998,5110,6,1,Rural,1,Low Income,12740,70,1395,0.09,2215,3220,1730,475,2745
British Columbia,V0H,53380,0.162,8275,5,1,Rural,0,Not Low Income,27465,190,3175,0.079,3980,5645,2945,880,7905
Alberta,T8W,21466,0.040999999999999995,885,2,0,Not Rural,0,Not Low Income,10515,275,1760,0.07200000000000001,2860,4780,1910,540,1600
Alberta,T9A,15660,0.124,1875,3,0,Not Rural,0,Not Low Income,7975,160,1905,0.08900000000000001,1770,2670,520,190,1545
Alberta,T9C,6831,0.11,720,5,1,Rural,0,Not Low Income,3555,45,410,0.08,790,1160,170,65,400
Alberta,T9X,5841,0.10099999999999999,570,5,1,Rural,0,Not Low Income,3010,20,245,0.076,755,1130,155,75,310
